Phase,Section,Champ,Label,Valeur
"META","Projet","name","Nom","Économie Contributive Provisionnée — Souveraineté Citoyenne"
"META","Projet","created","Créé","2026-01-26T01:47:57.820Z"
"META","Projet","updated","Modifié","2026-01-26T01:47:57.820Z"
"VOIR","Vision (Domino)","vision","Vision","D'ici fin 2027, obtenir un RULING FISCAL favorable du SDA validant le mécanisme de provisionnement différé de l'ECP, permettant aux 978 000 personnes en inactivité contrainte de contribuer SANS PERDRE leurs droits sociaux.

Objectif : Transformer 21-24 milliards €/an de dépenses passives en investissement actif via un projet pilote de 24 000 €."
"VOIR","Vision (Domino)","obstacles","Obstacles","JURIDIQUES : Absence de cadre dédié, risque de requalification ONSS, article 344 CIR 92
SOCIAUX : Perte BIM au premier euro, limitation chômage 24 mois
INSTITUTIONNELS : Coalition Arizona focalisée sur l'activation coercitive, services publics cloisonnés"
"VOIR","Vision (Domino)","ressources","Ressources","LOI VOLONTARIAT 2005 : plafond 1 692,51 € non imposable
SDA : procédure de ruling établie
RÉGIME VVPR-BIS : dividendes à taux réduit
INFRASTRUCTURE : Solid, FHIR, Decidim, Sensor.community
PARTENAIRES : Paradigm, Athumi, mutuelles, syndicats"
"VOIR","Profil Citoyen","motivations","Motivations","978 000 personnes en inactivité contrainte coûtent 21-24 Md€/an.
Le système INDEMNISE l'inactivité mais PÉNALISE la contribution.
Taux marginal > 100% pour les précaires = désincitation structurelle.

L'ECP propose de transformer cette dépense passive en investissement actif."
"VOIR","Profil Citoyen","competences","Compétences","JURIDIQUE : Ruling fiscal, droit social, volontariat
TECHNIQUE : Solid, FHIR, Git Scraping
MOBILISATION : Éducation permanente, vulgarisation
ANALYSE : Veille législative, études d'impact"
"VOIR","Profil Citoyen","temps","Temps disponible","Noyau dur : 3-5 personnes à mi-temps
Réseau élargi : 20-30 contributeurs ponctuels

T1 2026 : Dépôt ruling
T2 2026 : Projet pilote ARC
T4 2026 : Décision SDA attendue"
"VOIR","Profil Citoyen","limites","Limites","Budget : 24 000 € seulement
Pas d'accès direct aux cabinets ministériels
Documentation principalement francophone
Risque de ruling défavorable"
"VOIR","Fleur du Pouvoir","identites","Identités","Malades longue durée (500 000+) : burnout, TMS, chroniques
Chômeurs longue durée : 50-55 ans, ex-industriels
Étudiants précarisés : 58% insécurité alimentaire
Aidants proches : travail de care invisible"
"VOIR","Fleur du Pouvoir","privileges","Privilèges","Capital intellectuel et juridique
Réseau académique et tech
Maîtrise des standards (Solid, FHIR)
Autonomie organisationnelle"
"VOIR","Fleur du Pouvoir","oppressions","Oppressions","Violence administrative : taux marginal > 100%, perte BIM
Violence symbolique : discours « profiteurs »
Violence économique : désincitation à l'activité
Exclusion institutionnelle : système binaire inadapté"
"JUGER","Acteurs","acteur_0","Service des Décisions Anticipées (SDA)","Position: target, Pouvoir: 5/5, Rôle: Organe du SPF Finances — Autorité de délivrance des rulings"
"JUGER","Acteurs","acteur_1","SPF Finances","Position: neutral, Pouvoir: 5/5, Rôle: Administration fiscale fédérale"
"JUGER","Acteurs","acteur_2","ONSS","Position: neutral, Pouvoir: 5/5, Rôle: Office National de Sécurité Sociale — Requalification salariale"
"JUGER","Acteurs","acteur_3","Cabinet Vandenbroucke","Position: neutral, Pouvoir: 5/5, Rôle: Ministre Affaires Sociales (Vooruit)"
"JUGER","Acteurs","acteur_4","Paradigm","Position: ally, Pouvoir: 3/5, Rôle: Gestionnaire données Bruxelles — Infrastructure Solid"
"JUGER","Acteurs","acteur_5","Athumi","Position: ally, Pouvoir: 3/5, Rôle: Gestionnaire données Flandre — Infrastructure Solid"
"JUGER","Acteurs","acteur_6","Solidaris","Position: ally, Pouvoir: 3/5, Rôle: Mutualité socialiste — Expertise santé"
"JUGER","Acteurs","acteur_7","FGTB","Position: ally, Pouvoir: 4/5, Rôle: Syndicat socialiste — Services juridiques"
"JUGER","Acteurs","acteur_8","CSC","Position: ally, Pouvoir: 4/5, Rôle: Syndicat chrétien — Réseau et mobilisation"
"JUGER","Acteurs","acteur_9","DULBEA (ULB)","Position: ally, Pouvoir: 2/5, Rôle: Centre recherche économique — Caution académique"
"JUGER","Arbre à Problèmes","probleme","Problème central","Le « PIÈGE INSTITUTIONNEL » belge maintient 978 000 personnes dans une INACTIVITÉ CONTRAINTE coûtant 21-24 milliards €/an, tout en PÉNALISANT toute tentative de contribution citoyenne."
"JUGER","Arbre à Problèmes","causes","Causes","• Absence de statut juridique pour les formes hybrides de contribution
• Conception binaire du marché du travail (CDI ou inactif)
• Cloisonnement administratif (SPF, ONSS, ONEM, INAMI)
• Mécanismes de dégressivité brutaux (perte BIM au premier euro)
• Idéologie d'activation coercitive privilégiant la sanction"
"JUGER","Arbre à Problèmes","consequences","Conséquences","• 978 000 personnes maintenues dans l'inactivité contrainte
• Coût annuel de 21-24 milliards € en dépenses passives
• Déficit sécurité sociale 2024 : 18,2 Md€
• Perte de compétences et capital humain
• Cercle vicieux : inactivité → dégradation santé → incapacité"
"JUGER","Les 5 Pourquoi","p1","Pourquoi 1","Parce qu'il n'existe AUCUN STATUT JURIDIQUE pour les formes hybrides de contribution citoyenne — le droit belge ne connaît que le salarié, l'indépendant ou le volontaire strict."
"JUGER","Les 5 Pourquoi","p2","Pourquoi 2","Parce que le SYSTÈME SOCIAL BELGE a été conçu pour un marché du travail BINAIRE et ne sait pas traiter les situations intermédiaires."
"JUGER","Les 5 Pourquoi","p3","Pourquoi 3","Parce que les MÉCANISMES DE DÉGRESSIVITÉ sont BRUTAUX — la perte du statut BIM au premier euro crée un taux marginal > 100%."
"JUGER","Les 5 Pourquoi","p4","Pourquoi 4","Parce que l'IDÉOLOGIE D'ACTIVATION COERCITIVE postule que seule la SANCTION incite à l'emploi, ignorant les freins structurels réels."
"JUGER","Les 5 Pourquoi","p5","Pourquoi 5 (cause racine)","CAUSE RACINE : Le RAPPORT DE FORCE POLITIQUE est défavorable aux formes alternatives de contribution. Le financement de la sécu est indexé sur le salariat traditionnel, le ruling fiscal est sous-utilisé, la coalition Arizona privilégie la punition à l'innovation."
"JUGER","Analyse SWOT","forces","Forces","• Architecture juridique solide (loi volontariat, ruling SDA, VVPR-bis)
• Alignement avec objectifs Arizona (valoriser le travail)
• Argument économique imparable (21 Md€ vs 24 000 €)
• Infrastructure technique mature (Solid, FHIR, Decidim)"
"JUGER","Analyse SWOT","faiblesses","Faiblesses","• Complexité technique élevée à vulgariser
• Absence de précédent direct de ruling ECP
• Ressources limitées (24 000 € budget)
• Documentation principalement francophone"
"JUGER","Analyse SWOT","opportunites","Opportunités","• Contexte budgétaire critique (déficit 18,2 Md€)
• Réformes Arizona créent besoin d'alternatives
• Partenaires régionaux (Paradigm, Athumi) existants
• Intérêt croissant pour les modèles alternatifs"
"JUGER","Analyse SWOT","menaces","Menaces","• Ruling fiscal défavorable ou refus du SDA
• Requalification ONSS en contrat de travail
• Récupération politique négative
• Fatigue des porteurs de projet"
"JUGER","Analyse PESTEL","p","Politique","Coalition Arizona (MR + N-VA + Engagés + CD&V + Vooruit)
PM Bart De Wever : agenda activation et responsabilisation
Objectifs : 18 Md€ économies, 80% taux d'emploi, différentiel 500 €"
"JUGER","Analyse PESTEL","e","Économique","Déficit sécu sociale 2024 : 18,2 Md€
Coût inactivité : 21-24 Md€/an (1 M€/heure)
Dette publique : 119% PIB projeté 2029
Taux d'emploi : 72,1% BE vs 75,4% UE"
"JUGER","Analyse PESTEL","s","Social","978 000 personnes en inactivité contrainte
2,1 millions Belges en risque AROPE (18,3%)
500 000+ malades longue durée
58% étudiants en insécurité alimentaire"
"JUGER","Analyse PESTEL","t","Technologique","Protocole Solid : souveraineté données (Pod)
Standard FHIR : interopérabilité santé/social
Git Scraping : vérité administrative
Decidim : délibération liquide"
"JUGER","Analyse PESTEL","en","Environnemental","Transition écologique nécessitant contributions citoyennes
Précarité énergétique aggravée (perte BIM → tarifs sociaux)
Science citoyenne environnementale (Sensor.community)"
"JUGER","Analyse PESTEL","l","Légal","Loi volontariat 2005 : plafond 1 692,51 €
Critères ONSS : prestation, rémunération, subordination
SDA : procédure ruling établie
Article 344 CIR 92 : disposition anti-abus"
"JUGER","Théorie du Changement","actuelle","Changement de conscience","Les personnes précarisées passent de la HONTE à la FIERTÉ de contribuer. Déconstruction du piège institutionnel intériorisé. Prise de conscience de la valeur sociale de ses compétences."
"JUGER","Théorie du Changement","souhaitee","Changement de politiques","RULING FISCAL FAVORABLE validant le provisionnement différé. STATUT FISCAL SPÉCIFIQUE ECP. ARTICULATION avec la sécurité sociale pour constituer des droits. PARTENARIATS INSTITUTIONNELS formalisés."
"JUGER","Théorie du Changement","mecanismes","Changement de comportement","Engagement dans des activités valorisées (capteurs citoyens, Pont Social, guides pratiques). Utilisation du cadre ECP (chartes, SRL). Participation à la gouvernance (Decidim). Documentation des contributions (Git)."
"JUGER","Théorie du Changement","hypotheses","Hypothèses","1. Le SDA est capable de statuer sur un montage innovant
2. L'alignement Arizona rend le modèle audible
3. Le coût de l'inaction est un argument imparable
4. Les partenaires institutionnels ont intérêt à s'engager
5. L'infrastructure technique est mature"
"AGIR","Stratégies de Pouvoir","avec","Avec le pouvoir","• Dialogue avec le SDA : dépôt ruling documenté
• Partenariat cabinet Vandenbroucke : articulation ECP/sécu sociale
• Collaboration Paradigm/Athumi : infrastructure Solid
• Concertation syndicats et mutuelles
• Auditions parlementaires"
"AGIR","Stratégies de Pouvoir","sans","Sans le pouvoir","• Projet pilote ARC : preuve de concept avec 24 000 €
• Déploiement technique autonome (Sensor.community, Solid, Decidim)
• Production de ressources éducatives et guides
• Constitution d'un écosystème de 100+ contributeurs
• Documentation open source réplicable"
"AGIR","Stratégies de Pouvoir","contre","Contre le pouvoir","• Recours juridiques si ruling défavorable (Conseil d'État, Cour Constitutionnelle)
• Campagne de dénonciation du piège institutionnel (1 M€/heure)
• Mobilisation citoyenne (pétitions, actions symboliques)
• Interpellation européenne (Pilier social)
• Alliance avec opposition parlementaire"
"AGIR","Cibles & Alliés","principales","Cibles principales","🎯 CIBLE PRINCIPALE : SERVICE DES DÉCISIONS ANTICIPÉES (SDA)

Seule autorité habilitée à délivrer un RULING FISCAL sécurisant l'ECP.

STRATÉGIE :
1. Dossier IMPECCABLEMENT documenté
2. Démontrer l'ALIGNEMENT avec objectifs Arizona
3. Présenter le PROVISIONNEMENT DIFFÉRÉ comme non-revenu
4. Solliciter validation ABSENCE D'ABUS (Art. 344 CIR 92)"
"AGIR","Cibles & Alliés","secondaires","Cibles secondaires","• Cabinet Vandenbroucke : ministre socialiste potentiellement sensible
• ONSS : confirmation absence de subordination
• Services emploi (Forem, Actiris, VDAB) : reconnaissance activité ECP
• Commissions parlementaires : visibilité politique
• Médias (Le Soir, L'Écho) : légitimation du modèle"
"AGIR","Cibles & Alliés","allies","Alliés stratégiques","• Syndicats (FGTB, CSC) : services juridiques, mobilisation
• Mutuelles (Solidaris, MC) : expertise santé, Pont Social FHIR
• Fédérations CPAS (UVCW, Brulocalis) : relais institutionnels
• Gestionnaires données (Paradigm, Athumi) : infrastructure Solid
• Universités (DULBEA, IWEPS) : caution académique
• Opposition (PS, Écolo, PTB) : relais parlementaire"
"AGIR","Message Clé","accroche","Accroche","« En Belgique, l'inactivité forcée coûte 1 MILLION D'EUROS PAR HEURE.

978 000 personnes sont PAYÉES pour ne rien faire.
Pas parce qu'elles le veulent.
Mais parce que le système les PUNIT dès qu'elles essaient de contribuer.

24 000 € pour prouver qu'une alternative existe.
Contre 21 milliards de dépenses passives par an. »"
"AGIR","Message Clé","probleme","Le problème","Le système social belge souffre d'un PIÈGE INSTITUTIONNEL absurde :
• Il INDEMNISE l'inactivité totale (21-24 milliards €/an)
• Mais il PÉNALISE toute tentative de contribution

Taux marginal > 100% : chaque euro gagné fait perdre le statut BIM, puis les tarifs sociaux.

Résultat : Il est ÉCONOMIQUEMENT RATIONNEL de rester inactif."
"AGIR","Message Clé","importance","Pourquoi c'est important","Sans action immédiate :
• Déficit sécu sociale EXPLOSERA (24,1 Md€ en 2028)
• Réformes Arizona AGGRAVERONT le piège
• Capital humain continuera de se DÉGRADER
• Fenêtre d'opportunité se FERMERA

L'ECP n'est pas une utopie. C'est une SOLUTION PRAGMATIQUE."
"AGIR","Message Clé","cible","À qui on s'adresse","• Au SDA : Vous avez le pouvoir de SÉCURISER l'innovation sociale par un simple ruling.
• Au Ministre Vandenbroucke : L'ECP valorise le travail SANS sanctionner les précaires.
• Aux syndicats et mutuelles : L'ECP offre une voie de sortie SANS perdre vos protections.
• À l'opinion publique : Les allocataires sont EMPÊCHÉS de contribuer par un système absurde."
"AGIR","Message Clé","action","Action demandée","1️⃣ RULING FISCAL FAVORABLE du SDA
2️⃣ CIRCULAIRE ADMINISTRATIVE clarifiant maintien BIM
3️⃣ PARTENARIAT INSTITUTIONNEL pour le projet pilote
4️⃣ FINANCEMENT INITIAL de 24 000 € pour l'ARC

#EconomieContributive #RulingFiscal #SouveraineteCitoyenne"
"AGIR","SMART","smart_0","⬜ Objectif","Obtenir un RULING FISCAL FAVORABLE du SDA validant le provisionnement différé | 📏 Décision anticipée écrite confirmant non-revenu immédiat | 📅 2026-10-31"
"AGIR","SMART","smart_1","⬜ Objectif","Lancer le projet pilote ARC avec 100+ contributeurs actifs | 📏 100 personnes avec charte signée et missions documentées | 📅 2026-12-15"
"AGIR","SMART","smart_2","⬜ Objectif","Documenter une ÉCONOMIE POTENTIELLE chiffrée (étude d'impact) | 📏 Rapport académique DULBEA/IWEPS quantifiant ROI social | 📅 2026-09-30"
"AGIR","SMART","smart_3","⬜ Objectif","Sécuriser un PARTENARIAT TECHNIQUE avec Paradigm ou Athumi | 📏 Convention signée pour accès Pod Solid | 📅 2026-06-30"
"AGIR","SMART","smart_4","⬜ Objectif","Obtenir une COUVERTURE MÉDIATIQUE positive dans 3+ médias | 📏 Articles dans Le Soir, L'Écho, Trends ou RTBF | 📅 2026-09-15"
"AGIR","Suivi & Évaluation","indicateurs","Indicateurs de succès","QUANTITATIFS :
• Décision ruling fiscal (favorable/défavorable)
• Nombre de contributeurs pilote ARC (cible : 100+)
• Valeur sociale générée (cible : 50 000 € provisionnés)
• Partenariats formalisés (cible : 3+ conventions)
• Couverture médiatique (cible : 5+ articles)
• Maintien droits sociaux (cible : 100% contributeurs)

QUALITATIFS :
• Qualité documentation juridique
• Satisfaction contributeurs (> 4/5)
• Intérêt décideurs politiques"
"AGIR","Suivi & Évaluation","methodes","Méthodes de suivi","• Suivi dossier ruling (contact SDA, journal échanges)
• Tableau de bord contributeurs (chartes, missions, statut social)
• Documentation contributions (Git Scraping)
• Veille média et politique
• Enquêtes trimestrielles contributeurs
• Évaluation d'impact académique (DULBEA/IWEPS)"
"AGIR","Suivi & Évaluation","calendrier","Calendrier","T1 2026 : Dépôt ruling, mandatement avocat
T2 2026 : Lancement pilote ARC, 50 contributeurs
T3 2026 : 100 contributeurs, étude d'impact publiée
T4 2026 : Décision ruling attendue, bilan pilote
2027 : Si favorable → déploiement / Si défavorable → recours"
"AGIR","Suivi & Évaluation","lecons","Leçons à documenter","À DOCUMENTER :
• Quels arguments ont convaincu le SDA ?
• Quel profil de contributeurs s'engage le plus ?
• Quels partenaires ont été les plus réactifs ?
• Comment contrer l'accusation d'optimisation fiscale ?
• Solid/FHIR sont-ils utilisables par les non-techniciens ?
• Quelles compétences ont manqué ?"
"AGIR","Journal","2026-01-26","Entrée 1","🚀 Création du projet ECP. Objectif : sécuriser juridiquement l'Économie Contributive Provisionnée via ruling fiscal SDA."
